,Unnamed: 0,title_query,author_nyt,author_gr,min_rank,max_weeks_on_list,author_id,average_rating,book_id,ratings_count,title,gender,num_pages,author_match
174,189,THE PIANO TEACHER,Janice Y K Lee,Janice Y.K. Lee,11,2,1605157.0,3.33,4332082.0,19293.0,THE PIANO TEACHER,female,328,True
177,192,THE TEMPTATION OF THE NIGHT JASMINE,Lauren Willig,Lauren Willig,19,0,14469.0,3.77,3701590.0,6510.0,THE TEMPTATION OF THE NIGHT JASMINE,,,True
178,193,THE ASSOCIATE,John Grisham,John Grisham,1,9,721.0,3.65,3613997.0,55465.0,THE ASSOCIATE,male,,True
179,194,WHAT I DID FOR LOVE,Susan Elizabeth Phillips,Susan Elizabeth Phillips,11,3,41313.0,3.89,3519956.0,16325.0,WHAT I DID FOR LOVE,female,,True
182,197,BASKETBALL JONES,E Lynn Harris,E. Lynn Harris,11,2,81011.0,3.93,3697549.0,1820.0,BASKETBALL JONES,male,256,True
183,199,MEN OF THE OTHERWORLD,Kelley Armstrong,Kelley Armstrong,19,0,7581.0,4.26,3422075.0,14917.0,MEN OF THE OTHERWORLD,female,369,True
184,200,NUCLEAR JELLYFISH,Tim Dorsey,Tim Dorsey,20,0,27017.0,4.08,3614101.0,3004.0,NUCLEAR JELLYFISH,male,320,True
185,201,RUN FOR YOUR LIFE,James Patterson and Michael Ledwidge,James Patterson,12,9,3780.0,4.01,3188186.0,24617.0,RUN FOR YOUR LIFE,male,,True
187,203,TRUE COLORS,Kristin Hannah,Kristin Hannah,10,3,54493.0,3.92,3975186.0,39985.0,TRUE COLORS,female,344,True
190,206,FOOL,Christopher Moore,Christopher Moore,11,5,16218.0,3.97,3684856.0,47355.0,FOOL,male,311,True
194,210,HEART AND SOUL,Maeve Binchy,Maeve Binchy,11,6,3532.0,3.79,3393648.0,13963.0,HEART AND SOUL,female,418,True
198,215,LETHAL LEGACY,Linda Fairstein,Linda Fairstein,15,1,48895.0,3.84,4597394.0,3989.0,LETHAL LEGACY,None,,True
199,216,CUTTING FOR STONE,Abraham Verghese,Abraham   Verghese,17,0,93353.0,4.28,3591262.0,313746.0,CUTTING FOR STONE,,,True
200,217,SECOND OPINION,Michael Palmer,Michael Palmer,19,0,110485.0,3.78,3701072.0,2929.0,SECOND OPINION,male,376,True
201,218,PROMISES IN DEATH,J D Robb,J.D. Robb,1,5,17065.0,4.41,3492020.0,28896.0,PROMISES IN DEATH,None,,True
202,219,"WHITE WITCH, BLACK CURSE",Kim Harrison,Kim Harrison,12,4,17054.0,4.35,3475268.0,43991.0,"WHITE WITCH, BLACK CURSE",female,,True
205,222,TERMINAL FREEZE,Lincoln Child,Lincoln Child,11,4,11091.0,3.79,3986318.0,13330.0,TERMINAL FREEZE,,,True
206,223,CREAM PUFF MURDER,Joanne Fluke,Joanne Fluke,12,1,18819.0,3.79,4615457.0,9121.0,CREAM PUFF MURDER,female,310,True
207,224,TEMPTATION AND SURRENDER,Stephanie Laurens,Stephanie Laurens,14,1,9241.0,3.91,3939628.0,3236.0,TEMPTATION AND SURRENDER,female,400,True
208,226,HANDLE WITH CARE,Jodi Picoult,Jodi Picoult,1,9,7128.0,3.97,3720975.0,103963.0,HANDLE WITH CARE,female,453,True
209,227,STORM FROM THE SHADOWS,David Weber,David Weber,12,1,10517.0,4.11,3667676.0,4210.0,STORM FROM THE SHADOWS,male,755,True
210,229,PATHS OF GLORY,Jeffrey Archer,Jeffrey Archer,13,3,4820.0,3.91,4102763.0,14352.0,PATHS OF GLORY,male,None,True
211,230,DON'T LOOK TWICE,Andrew Gross,Andrew Gross,15,1,8214.0,3.77,4774462.0,2904.0,DON'T LOOK TWICE,male,376,True
215,234,THE HELP,Kathryn Stockett,Kathryn Stockett,1,99,1943477.0,4.46,4667024.0,1839583.0,THE HELP,female,465,True
218,237,HOTEL ON THE CORNER OF BITTER AND SWEET,Jamie Ford,Jamie Ford,15,2,1421619.0,4.0,3367956.0,237350.0,HOTEL ON THE CORNER OF BITTER AND SWEET,male,290,True
225,244,EXECUTION DOCK,Anne Perry,Anne Perry,10,1,6331.0,3.99,3655727.0,2718.0,EXECUTION DOCK,female,306,True
227,246,LONG LOST,Harlan Coben,Harlan Coben,1,5,24689.0,3.96,3675828.0,24202.0,LONG LOST,None,,True
230,249,SMOOTH TALKING STRANGER,Lisa Kleypas,Lisa Kleypas,20,1,27847.0,4.16,4066312.0,33185.0,SMOOTH TALKING STRANGER,female,340,True
231,250,THE LOST QUILTER,Jennifer Chiaverini,Jennifer Chiaverini,10,1,11630.0,4.17,3678952.0,4212.0,THE LOST QUILTER,female,352,True
232,251,RIDES A DREAD LEGION,Raymond E Feist,Raymond E. Feist,16,1,8588.0,3.93,4003436.0,7569.0,RIDES A DREAD LEGION,male,,True
233,252,ONE SECOND AFTER,William R Forstchen,William R. Forstchen,11,1,8589.0,3.93,4922079.0,41714.0,ONE SECOND AFTER,male,352,True
234,253,TURN COAT,Jim Butcher,Jim Butcher,1,3,10746.0,4.45,3475161.0,78022.0,TURN COAT,male,420,True
235,254,JUST TAKE MY HEART,Mary Higgins Clark,Mary Higgins Clark,1,7,99044.0,3.75,3609537.0,10124.0,JUST TAKE MY HEART,female,322,True
236,255,FATALLY FLAKY,Diane Mott Davidson,Diane Mott Davidson,15,3,9556.0,3.71,3435815.0,6784.0,FATALLY FLAKY,female,11,True
240,261,LOOK AGAIN,Lisa Scottoline,Lisa Scottoline,10,3,20258.0,3.86,5355136.0,38109.0,LOOK AGAIN,female,,True
242,263,PRAYERS FOR SALE,Sandra Dallas,Sandra Dallas,12,1,74078.0,3.84,4618898.0,15855.0,PRAYERS FOR SALE,,,True
243,264,PERFECT FIFTHS,Megan McCafferty,Megan McCafferty,13,1,79922.0,3.85,3996887.0,8884.0,PERFECT FIFTHS,female,258,True
244,265,THE GEOMETRY OF SISTERS,Luanne Rice,Luanne Rice,19,0,5076.0,3.78,3733297.0,4880.0,THE GEOMETRY OF SISTERS,female,319,True
245,267,FIRST FAMILY,David Baldacci,David Baldacci,1,9,9291.0,4.01,5509321.0,30452.0,FIRST FAMILY,male,449,True
246,268,TEA TIME FOR THE TRADITIONALLY BUILT,Alexander McCall Smith,Alexander McCall Smith,12,6,4738.0,4.12,4285768.0,18360.0,TEA TIME FOR THE TRADITIONALLY BUILT,male,212,True
250,272,ARTHAS,Christie Golden,Christie Golden,16,1,7710.0,4.1,6290885.0,7165.0,ARTHAS,female,320,True
252,274,THE 8TH CONFESSION,James Patterson and Maxine Paetro,James Patterson,1,8,3780.0,4.04,4110198.0,39584.0,THE 8TH CONFESSION,male,368,True
253,275,LOVER AVENGED,JR Ward,J.R. Ward,14,3,20248.0,4.38,5098079.0,97996.0,LOVER AVENGED,None,527,True
254,276,SUMMER ON BLOSSOM STREET,Debbie Macomber,Debbie Macomber,12,3,11349.0,4.2,5981415.0,12762.0,SUMMER ON BLOSSOM STREET,female,368,True
255,277,THE LANGUAGE OF BEES,Laurie R King,Laurie R. King,9,1,6760.0,4.16,5226845.0,12676.0,THE LANGUAGE OF BEES,female,,True
256,278,HOME SAFE,Elizabeth Berg,Elizabeth Berg,14,1,3529.0,3.48,4815584.0,10324.0,HOME SAFE,female,,True
257,279,MR. AND MISS ANONYMOUS,Fern Michaels,Fern Michaels,19,0,2609.0,3.53,6225116.0,2478.0,MR. AND MISS ANONYMOUS,female,,True
258,280,DEAD AND GONE,Charlaine Harris,Charlaine Harris,1,9,17061.0,4.01,5161066.0,162920.0,DEAD AND GONE,None,312,True
262,284,BROOKLYN,Colm Toibin,Colm Tóibín,17,0,1351903.0,3.65,4954833.0,80346.0,BROOKLYN,male,262,True
264,286,WICKED PREY,John Sandford,John Sandford,1,5,4610.0,4.16,5867331.0,13072.0,WICKED PREY,male,None,True
265,287,CEMETERY DANCE,Douglas Preston and Lincoln Child,Douglas Preston,13,4,12577.0,4.01,2197227.0,20562.0,CEMETERY DANCE,male,,True
266,288,ASSEGAI,Wilbur Smith,Wilbur Smith,13,3,4043.0,3.94,6073881.0,4834.0,ASSEGAI,male,471,True
267,289,THE LAST CHILD,John Hart,John Hart,10,1,47072.0,4.12,5556466.0,30562.0,THE LAST CHILD,male,373,True
268,291,ROAD DOGS,Elmore Leonard,Elmore Leonard,13,3,12940.0,3.52,5640796.0,3583.0,ROAD DOGS,male,262,True
270,294,GONE TOMORROW,Lee Child,Lee Child,1,5,5091.0,4.18,4494917.0,76325.0,GONE TOMORROW,male,441,True
272,297,SEDUCING AN ANGEL,Mary Balogh,Mary Balogh,10,1,9759.0,3.78,5462087.0,5509.0,SEDUCING AN ANGEL,female,325,True
273,298,THE SCARECROW,Michael Connelly,Matthew Reilly,1,6,83714.0,4.22,144789.0,14361.0,THE SCARECROW,,,True
274,299,SHANGHAI GIRLS,Lisa See,Lisa See,12,9,713.0,3.89,5960325.0,125605.0,SHANGHAI GIRLS,female,,True
276,301,SKIN TRADE,Laurell K Hamilton,Laurell K. Hamilton,1,3,9550.0,3.91,5215879.0,33160.0,SKIN TRADE,female,486,True
278,304,MATTERS OF THE HEART,Danielle Steel,Danielle Steel,10,2,14255.0,3.72,6004019.0,5097.0,MATTERS OF THE HEART,female,341,True
280,307,UNDEAD AND UNWELCOME,MaryJanice Davidson,MaryJanice Davidson,14,1,1429808.0,3.76,5465066.0,11249.0,UNDEAD AND UNWELCOME,female,282,True
281,308,MY FATHER'S TEARS AND OTHER STORIES,John Updike,John Updike,17,0,6878.0,3.7,5668391.0,1217.0,MY FATHER'S TEARS AND OTHER STORIES,male,304,True
284,312,THE PHYSICK BOOK OF DELIVERANCE DANE,Katherine Howe,Katherine Howe,10,5,342135.0,3.7,4836308.0,47693.0,THE PHYSICK BOOK OF DELIVERANCE DANE,female,371,True
287,315,ROADSIDE CROSSES,Jeffery Deaver,Jeffery Deaver,18,1,1612.0,3.81,5568007.0,9882.0,ROADSIDE CROSSES,male,397,True
289,318,THE ANGEL'S GAME,Carlos Ruiz Zafón,Carlos Ruiz Zafón,13,5,815.0,3.89,5196764.0,90733.0,THE ANGEL'S GAME,male,,True
291,320,DUNE ROAD,Jane Green,Jane Green,14,1,12915.0,3.43,6054190.0,12548.0,DUNE ROAD,female,341,True
292,322,A ROGUE OF MY OWN,Johanna Lindsey,Johanna Lindsey,20,0,29542.0,3.77,5945363.0,5408.0,A ROGUE OF MY OWN,female,,True
294,324,THE DOOMSDAY KEY,James Rollins,James Rollins,13,5,38809.0,4.16,5171894.0,23773.0,THE DOOMSDAY KEY,male,448,True
297,327,THE FIXER UPPER,Mary Kay Andrews,Mary Kay Andrews,13,1,21387.0,3.89,41014681.0,17868.0,THE FIXER UPPER,None,436,True
298,329,SWIMSUIT,James Patterson and Maxine Paetro,James Patterson,1,8,3780.0,3.64,5551522.0,22009.0,SWIMSUIT,male,391,True
300,331,A PLAGUE OF SECRETS,John Lescroart,John Lescroart,12,1,10521.0,4.12,5802612.0,4792.0,A PLAGUE OF SECRETS,male,,True
301,332,RETURN TO SULLIVANS ISLAND,Dorothea Benton Frank,Dorothea Benton Frank,14,3,36935.0,3.76,5082616.0,5933.0,RETURN TO SULLIVANS ISLAND,female,,True
306,337,THE CASTAWAYS,Elin Hilderbrand,Elin Hilderbrand,10,2,88301.0,3.7,6080822.0,27160.0,THE CASTAWAYS,None,359,True
307,338,BY HERESIES DISTRESSED,David Weber,David Weber,11,1,10517.0,4.1,6048478.0,5956.0,BY HERESIES DISTRESSED,male,,True
308,339,THE CROWNING GLORY OF CALLA LILY PONDER,Rebecca Wells,Rebecca Wells,19,0,3489.0,3.68,5148758.0,9368.0,THE CROWNING GLORY OF CALLA LILY PONDER,female,395,True
309,341,BEST FRIENDS FOREVER,Jennifer Weiner,Jennifer Weiner,1,7,9212.0,3.5,6066819.0,55509.0,BEST FRIENDS FOREVER,female,368,True
310,342,RAIN GODS,James Lee Burke,James Lee Burke,10,3,7031.0,4.0,6238661.0,4559.0,RAIN GODS,male,434,True
311,344,GUARDIAN OF LIES,Steve Martini,Steve Martini,10,1,1648.0,3.92,6279874.0,3960.0,GUARDIAN OF LIES,male,438,True
313,346,THE DEFECTOR,Daniel Silva,Daniel Silva,1,4,29085.0,4.3,5739373.0,24665.0,THE DEFECTOR,None,480,True
314,348,TWENTIES GIRL,Sophie Kinsella,Sophie Kinsella,12,3,6160.0,3.82,6063187.0,139429.0,TWENTIES GIRL,None,435,True
316,350,STORM CYCLE,Iris Johansen and Roy Johansen,Iris Johansen,17,0,32498.0,3.85,6162662.0,3373.0,STORM CYCLE,None,,True
317,351,THE GIRL WHO PLAYED WITH FIRE,Stieg Larsson,Stieg Larsson,1,9,706255.0,4.23,5060378.0,733012.0,THE GIRL WHO PLAYED WITH FIRE,male,,True
318,352,HOT PURSUIT,Suzanne Brockmann,Suzanne Brockmann,10,2,32638.0,4.21,5571541.0,5392.0,HOT PURSUIT,None,398,True
321,355,THAT OLD CAPE MAGIC,Richard Russo,Richard Russo,13,7,7844.0,3.31,6303733.0,15363.0,THAT OLD CAPE MAGIC,male,,True
322,356,INHERENT VICE,Thomas Pynchon,Thomas Pynchon,11,2,235.0,3.73,5933841.0,23541.0,INHERENT VICE,male,369,True
323,357,THE TRAFFICKERS,WEB Griffin and William E Butterworth IV,W.E.B. Griffin,17,1,1415338.0,3.93,5500385.0,1557.0,THE TRAFFICKERS,male,,True
324,358,RULES OF VENGEANCE,Christopher Reich,Christopher Reich,11,1,49607.0,3.92,6187445.0,3237.0,RULES OF VENGEANCE,male,432,True
