,author,author_id,average_rating,book_id,ratings_count,title,title_query
24,Iris Johansen,32498,3.98,17934442,2904,"Live to See Tomorrow (Catherine Ling, #3)",LIVE TO SEE TOMORROW
25,Clive Cussler,18411,4.20,23281922,5326,"Piranha (The Oregon Files, #10)",PIRANHA
26,Reed Farrel Coleman,138518,4.02,29093235,2772,"Robert B. Parker's Debt to Pay (Jesse Stone, #15)",ROBERT B PARKER'S DEBT TO PAY
27,Lauren Weisberger,3490,3.33,426775,72395,Chasing Harry Winston,THE CHASE
28,Jesmyn Ward,1676417,4.04,32920226,68703,"Sing, Unburied, Sing","SING, UNBURIED, SING"
29,Richard Paul Evans,46097,3.91,25205404,5999,The Mistletoe Inn,THE MISTLETOE INN
30,Nora Roberts,625,4.10,9410421,31438,Chasing Fire,CHASING FIRE
31,Jacqueline Winspear,5023,4.01,12340713,13894,"Elegy for Eddie (Maisie Dobbs, #9)",ELEGY FOR EDDIE
32,Brandon Sanderson,38550,4.31,16065004,58372,"Shadows of Self (Mistborn, #5)",SHADOWS OF SELF
33,Karen Traviss,12672,3.82,2919938,2643,"The Clone Wars (Star Wars: The Clone Wars, #1)",THE CLONE WARS
34,Karen  Lynch,7734428,4.30,20427449,17880,"Relentless (Relentless, #1)",RELENTLESS
35,Amanda Quick,42211,3.84,12019626,6420,"Crystal Gardens (Ladies of Lantern Street, #1)",CRYSTAL GARDENS
36,Matt Ruff,40577,3.61,71845,8145,Bad Monkeys,BAD MONKEY
37,Barack Obama,6356,3.85,88061,161003,Dreams from My Father: A Story of Race and Inheritance,THE RACE
38,John Grisham,721,3.72,25387351,57596,"Rogue Lawyer (Rogue Lawyer, #1)",ROGUES
39,Stephen Hunter,12546,3.81,2990651,3250,"Night of Thunder (Bob Lee Swagger, #5)",NIGHT OF THUNDER
40,Julie Garwood,6251,3.94,9647908,14270,"The Ideal Man (Buchanan-Renard, #9)",THE IDEAL MAN
41,Orson Scott Card,589,4.31,9532,138332,"Ender's Shadow (The Shadow Series, #1)",THE SHADOWS
42,Mary Kay Andrews,21387,3.71,26114516,21020,The Weekenders,THE WEEKENDERS
43,M.C. Beaton,1657638,3.64,15791120,3578,"Death of Yesterday (Hamish Macbeth, #28)",DEATH OF YESTERDAY
44,John Irving,3075,3.75,6323821,22446,Last Night in Twisted River,LAST NIGHT IN TWISTED RIVER
45,C.J. Box,314195,4.03,10134217,7931,Back Of Beyond (A Highway Quartet Novel #1),BACK OF BEYOND
46,Malcolm X,17435,4.30,92057,159990,The Autobiography of Malcolm X,X
47,Lauren Groff,690619,3.57,24612118,97647,Fates and Furies,FATES AND FURIES
48,Yotam Ottolenghi,1397570,4.26,13531504,16775,Jerusalem: A Cookbook,JERUSALEM
49,Kresley Cole,4428,4.08,6388558,49400,"The Warlord Wants Forever (Immortals After Dark, #1)",WARLORD
50,Catherine Coulter,1239,3.40,7928992,2406,"The Valcourt Heiress (Medieval Song, #7)",THE VALCOURT HEIRESS
51,Greg Iles,19696,4.06,2967316,15370,The Devil's Punchbowl (Penn Cage #3),THE DEVIL'S PUNCHBOWL
52,James Lee Burke,7031,4.11,3346854,6891,"Swan Peak (Dave Robicheaux, #17)",SWAN PEAK
53,Rachel Caine,15292,3.92,27266,86586,"Glass Houses (The Morganville Vampires, #1)",GLASS HOUSES
54,Janet Evanovich,2384,3.82,19004663,45792,"Top Secret Twenty-One (Stephanie Plum, #21)",TOP SECRET
55,Nicholas Sparks,2345,4.15,6400090,473772,The Last Song,THE LAST SONG
56,Alexander McCall Smith,4738,4.11,12405126,12558,The Limpopo Academy of Private Detection (No. 1 Ladies' Detective Agency #13),THE LIMPOPO ACADEMY OF PRIVATE DETECTION
57,James Patterson,3780,3.93,35212978,13610,"The 17th Suspect (Women's Murder Club, #17)",THE 17TH SUSPECT
58,Christopher Moore,16218,3.97,3684856,47355,Fool,FOOL
59,James Scott Bell,11957,4.04,148600,1000,Blind Justice,BLIND JUSTICE
60,Robert Dugoni,63650,4.20,109958,2780,Damage Control,DAMAGE CONTROL
61,Linda Castillo,54958,4.19,26031833,7641,Among the Wicked (Kate Burkholder #8),AMONG THE WICKED
62,Marc Cameron (author),18443878,3.81,41941428,16,Tom Clancy Power and Empire,TOM CLANCY POWER AND EMPIRE
63,A.N. Roquelaure,437669,3.39,23591092,2232,Beauty's Kingdom (Sleeping Beauty #4),BEAUTY'S KINGDOM
64,Suzanne Collins,153394,4.29,6148028,2164598,"Catching Fire (The Hunger Games, #2)",THE FIRE
65,Dennis Lehane,10289,3.61,31751571,23644,Since We Fell,SINCE WE FELL
66,Helen Fielding,3090,3.34,17262155,43309,"Mad About the Boy (Bridget Jones, #3)",BRIDGET JONES: MAD ABOUT THE BOY
67,C.J. Box,314195,4.20,25690957,8450,"Off The Grid (Joe Pickett, #16)",OFF THE GRID
68,William Paul Young,15481463,3.95,15789399,9290,Cross Roads,CROSS ROADS
69,Patricia Cornwell,1025097,3.74,2833172,26164,"Scarpetta (Kay Scarpetta, #16)",SCARPETTA
70,Helen Simonson,2995577,3.88,6643090,120448,Major Pettigrew's Last Stand,MAJOR PETTIGREW'S LAST STAND
71,Nancy Horan,460979,3.58,17797253,15758,Under the Wide and Starry Sky,UNDER THE WIDE AND STARRY SKY
72,Mike Maden,7025886,3.97,42732540,2783,Tom Clancy Line of Sight,TOM CLANCY LINE OF SIGHT
73,Julia Glass,9972,3.53,18166863,5256,And the Dark Sacred Night,DARK OF NIGHT
74,Mary Masters,13711601,3.82,26053705,83,Hell's Gates,HELL GATE
75,Tahereh Mafi,4637539,3.99,10429045,236742,"Shatter Me (Shatter Me, #1)",SHATTERED
76,Roma Downey,435808,4.24,15789630,491,"A Story of God and All of Us: A Novel Based on the Epic TV Miniseries ""The Bible""",THE STORY OF GOD AND ALL OF US
77,Terry Goodkind,3441,3.67,8598554,17505,"The Omen Machine (Sword of Truth, #12; Richard and Kahlan, #1)",THE OMEN MACHINE
78,Jake Tapper,233537,3.56,34329347,4524,The Hellfire Club,THE HELLFIRE CLUB
79,Jill Alexander Essbaum,9873524,3.23,22725443,13276,Hausfrau,HAUSFRAU
80,Robert B. Parker,397,3.97,7625566,8351,"Painted Ladies (Spenser, #38)",PAINTED LADIES
81,Robert A. Heinlein,205,4.17,16690,96118,The Moon is a Harsh Mistress,THE MISTRESS
82,Donna Leon,16290,3.91,35576032,3647,"The Temptation of Forgiveness (Commissario Brunetti, #27)",THE TEMPTATION OF FORGIVENESS
83,Dennis Lehane,10289,3.88,18089877,8009,World Gone By (Coughlin #3),WORLD GONE BY
84,Jodi Picoult,7128,4.35,41021501,189035,Small Great Things,SMALL GREAT THINGS
85,Debbie Macomber,11349,3.85,22694049,18528,Last One Home (New Beginnings #1),LAST ONE HOME
86,Larry McMurtry,1055,3.01,23316537,2803,The Last Kind Words Saloon,THE LAST KIND WORDS SALOON
87,Mitch Albom,2331,3.74,17888952,49633,The First Phone Call from Heaven,THE FIRST PHONE CALL FROM HEAVEN
88,James Redfield,8203,3.98,9405127,1560,"The Twelfth Insight: The Hour of Decision (Celestine Prophecy, #4)",THE TWELFTH INSIGHT
89,Phillip Margolin,7153,3.84,11746175,2621,"Capitol Murder (Dana Cutler, #3)",CAPITOL MURDER
90,Linda Castillo,54958,4.17,31450759,6120,"Down a Dark Road (Kate Burkholder, #9)",DOWN A DARK ROAD
91,Stuart Woods,3936,3.78,22521941,4013,"Insatiable Appetites (Stone Barrington, #32)",INSATIABLE APPETITES
92,John Sandford,4610,4.16,6878614,15973,"Storm Prey (Lucas Davenport, #20)",STORM PREY
93,Jack Higgins,19706,3.82,18079632,1594,"The Death Trade (Sean Dillion, #20)",THE DEATH TRADE
94,Christine Feehan,6268,4.39,6353001,14838,"Dark Slayer (Dark, #17)",DARK SLAYER
95,Charlaine Harris,17061,4.01,5161066,162920,"Dead and Gone (Sookie Stackhouse, #9)",DEAD AND GONE
96,Ken Follett,3447,4.09,23190986,66587,"Edge of Eternity (The Century Trilogy, #3)",EDGE OF ETERNITY
97,R.A. Salvatore,1023510,4.20,13227445,5893,"Charon's Claw (Forgotten Realms: Neverwinter, #3; Legend of Drizzt, #22)",CHARON'S CLAW
98,Ally Condie,1304470,3.67,7735333,587822,"Matched (Matched, #1)",ALLIES
99,Maeve Binchy,3532,3.79,3393648,13963,Heart and Soul,HEART AND SOUL
100,Stuart Woods,3936,3.82,25893955,4122,"Family Jewels (Stone Barrington, #37)",FAMILY JEWELS
101,Lauren Graham,1906497,3.50,16071745,42499,"Someday, Someday, Maybe","SOMEDAY, SOMEDAY, MAYBE"
102,Sandra Brown,6218,3.94,25114548,19574,Friction,FRICTION
103,Anita Shreve,3530,3.85,32324273,25360,The Stars Are Fire,THE STARS ARE FIRE
104,Anthony Horowitz,32590,3.93,32075854,42531,Magpie Murders,MAGPIE MURDERS
105,Garth Stein,194531,3.61,13258121,11031,A Sudden Light,A SUDDEN LIGHT
106,Robert Jordan,6252,4.51,7743175,92312,"A Memory of Light (Wheel of Time, #14)",A MEMORY OF LIGHT
107,Fatima Farheen Mirza,16984671,4.16,36840397,17022,A Place for Us,A PLACE FOR US
108,Craig Johnson,63607,4.28,16158552,8471,"A Serpent's Tooth (Walt Longmire, #9)",A SERPENT'S TOOTH
109,Maeve Binchy,3532,3.80,7979073,20822,Minding Frankie,MINDING FRANKIE
110,Geraldine Brooks,211268,3.82,9684523,55437,Caleb's Crossing,THE CROSSING
111,Brad Taylor,1279042,4.17,23398849,3053,"The Insider Threat (Pike Logan, #8)",THE INSIDER THREAT
112,J. Ryan Stradal,9761936,3.77,23398625,28780,Kitchens of the Great Midwest,KITCHENS OF THE GREAT MIDWEST
113,Jeffery Deaver,1612,3.61,10483475,8679,Carte Blanche (James Bond),CARTE BLANCHE
114,Charlaine Harris,17061,3.67,10407279,87431,"Deadlocked (Sookie Stackhouse, #12)",DEADLOCKED
115,Danielle Steel,14255,3.81,14951193,5035,Until the End of Time,UNTIL THE END OF TIME
116,Shobha Rao,7085305,3.80,34275212,8979,Girls Burn Brighter,BURN BRIGHT
117,Stephen R. Covey,1538,4.08,36072,401922,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,CHANGES
118,Clive Cussler,18411,4.03,11280465,5912,"Devil's Gate (NUMA Files, #9)",DEVIL'S GATE
119,Ashlee Vance,761595,4.23,25541028,148280,"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",THE QUEST
120,Ann Patchett,7136914,3.81,28214365,113321,Commonwealth,COMMONWEALTH
121,Stuart Woods,3936,3.70,18667899,3912,"Carnal Curiosity (Stone Barrington, #29)",CARNAL CURIOSITY
122,Pearl S. Buck,704,3.98,1078,207422,"The Good Earth (House of Earth, #1)",HOUSE OF EARTH
123,Viktor E. Frankl,2782,4.35,4069,268369,Man's Search for Meaning,THE SEARCH
124,Lisa Scottoline,20258,3.84,34964864,19883,After Anna,AFTER ANNA
125,Kresley Cole,4428,4.30,8158992,22401,"MacRieve (Immortals After Dark, #14)",MACRIEVE
126,Stephenie Meyer,941441,3.70,32940867,53172,The Chemist,THE CHEMIST
127,Bernard Cornwell,12542,3.58,9267072,4756,The Fort,THE FORT
128,Dean Koontz,9355,4.03,15797722,18219,"Deeply Odd (Odd Thomas, #6)",DEEPLY ODD
129,Dean Koontz,9355,3.47,6327770,13424,Breathless,BREATHLESS
130,Jeffrey Archer,4820,4.06,10872085,64362,"Only Time Will Tell (The Clifton Chronicles, #1)",ONLY TIME WILL TELL
131,J.P. Delaney,14719991,3.69,28016509,86185,The Girl Before,THE GIRL BEFORE
132,Anne Perry,6331,3.99,8872596,2425,"Treason at Lisson Grove (Charlotte &amp; Thomas Pitt, #26)",TREASON AT LISSON GROVE
133,David Weber,10517,4.11,13118201,4524,"Midst Toil and Tribulation (Safehold, #6)",MIDST TOIL AND TRIBULATION
134,Marissa Meyer,4684322,4.06,18584855,62882,Heartless,HEARTLESS
135,Sara Gruen,24556,3.48,2458340,26278,Ape House,APE HOUSE
136,Colum McCann,14080,3.81,16085517,22154,TransAtlantic,TRANSATLANTIC
137,Stuart Woods,3936,3.78,2900249,5574,"Hot Mahogany (Stone Barrington, #15)",HOT MAHOGANY
138,Janet Evanovich,2384,3.79,3400816,39053,"Plum Spooky (Stephanie Plum, #14.5)",PLUM SPOOKY
139,Paul S. Kemp,32912,3.77,22012290,10163,Lords of the Sith (Star Wars Disney Canon Novel),STAR WARS: LORDS OF THE SITH
140,Terry Brooks,9629,4.04,15743711,4654,"Witch Wraith (The Dark Legacy of Shannara, #3)",WITCH WRAITH
141,Leila Meacham,37140,4.14,17333455,4064,Somerset,SOMERSET
142,Maggie Barbieri,202369,3.68,352913,1681,"Murder 101 (A Murder 101 Mystery, #1)",MURDER 101
143,J.A. Jance,3453636,4.15,33385013,3797,"Proof of Life (J.P. Beaumont, #23)",PROOF OF LIFE
144,Harlan Coben,24689,4.06,34001659,32852,Don't Let Go,DON'T LET GO
145,Karen   White,160033,4.10,30068929,4934,"The Guests on South Battery (Tradd Street, #5)",THE GUESTS ON SOUTH BATTERY
146,C.J. Box,314195,4.31,22395145,8325,"Endangered (Joe Pickett, #15)",ENDANGERED
147,Joe Hill,88506,4.07,15729539,74685,NOS4A2,NOS4A2
148,Raymond Khoury,26011,3.86,7831076,10274,"The Templar Salvation (Templar, #2)",THE TEMPLAR SALVATION
149,Victoria Aveyard,7074943,4.07,22328546,422637,"Red Queen (Red Queen, #1)",THE RED QUEEN
150,Debbie Macomber,11349,3.99,7556334,10203,"Hannah's List (Blossom Street, #7)",HANNAH'S LIST
151,Stuart Woods,3936,3.88,9585131,7097,"Bel-Air Dead (Stone Barrington, #20)",BEL-AIR DEAD
152,Jayne Ann Krentz,2387,3.82,18079815,7006,River Road,RIVER ROAD
153,Robert Crais,8944,4.19,1689469,14391,"Chasing Darkness (Elvis Cole, #12)",CHASING DARKNESS
154,Laura Lippman,60459,3.62,18089975,14361,After I'm Gone,AFTER I'M GONE
155,John Updike,6878,3.70,5668391,1217,My Father's Tears and Other Stories,MY FATHER'S TEARS AND OTHER STORIES
156,Alexander McCall Smith,4738,4.05,25329003,8875,The Woman Who Walked in Sunshine (No. 1 Ladies' Detective Agency #16),THE WOMAN WHO WALKED IN SUNSHINE
157,David Mitchell,6538289,3.81,40611069,42927,Slade House,SLADE HOUSE
158,Elizabeth Peters,16549,3.59,18964788,2856,"The Painted Queen (Amelia Peabody, #20)",THE PAINTED QUEEN
159,Alan Furst,49941,3.59,18490852,4250,"Midnight in Europe (Night Soldiers, #13)",MIDNIGHT IN EUROPE
160,James Patterson,3780,3.79,6987558,13721,Don't Blink,DON'T BLINK
161,Rita Mae Brown,23511,3.66,12305445,1598,"The Big Cat Nap (Mrs. Murphy, #20)",THE BIG CAT NAP
162,Isabel Allende,2238,3.81,16248114,20287,Maya's Notebook,MAYA'S NOTEBOOK
163,Michael Connelly,12470,4.06,34091380,36699,"The Late Show (Renée Ballard, #1; Harry Bosch Universe, #29)",THE LATE SHOW
164,Cassandra Clare,150038,4.11,256683,1410195,"City of Bones (The Mortal Instruments, #1)",THE CITY
165,Kathryn Stockett,1943477,4.46,4667024,1839626,The Help,THE HELP
166,Annie Proulx,1262010,3.80,1781879,2268,Fine Just the Way it Is,FINE JUST THE WAY IT IS
167,Laurie R. King,6760,3.92,13330537,7276,"Garment of Shadows (Mary Russell, #12)",GARMENT OF SHADOWS
168,Robertson Davies,23129,3.89,10859132,35,Thrice the Brinded Cat Hath Mew'd,THRICE THE BRINDED CAT HATH MEW'D
169,Jason  Matthews,6903512,3.97,15803037,35076,"Red Sparrow (Red Sparrow Trilogy, #1)",RED SPARROW
170,Richard Paul Evans,46097,4.17,6517407,11878,The Christmas List,THE CHRISTMAS LIST
171,Sarah Pinborough,457300,3.75,28965131,53059,Behind Her Eyes,BEHIND HER EYES
172,W. Bruce Cameron,327737,4.22,31702812,5720,A Dog's Way Home,A DOG'S WAY HOME
173,Pierce Brown,6474348,4.45,18966819,113737,"Golden Son (Red Rising, #2)",GOLDEN SON
174,Tim Dorsey,27017,3.92,18072897,1525,"Tiger Shrimp Tango (Serge Storms, #17)",TIGER SHRIMP TANGO
175,Laurell K. Hamilton,9550,4.04,6098691,22713,"Divine Misdemeanors (Merry Gentry, #8)",DIVINE MISDEMEANORS
176,Elin Hilderbrand,88301,3.71,20706316,26925,"Winter Street (Winter, #1)",WINTER STREET
177,Glenn Beck,188932,3.53,6949478,5973,"The Overton Window (Overton Window, #1)",THE OVERTON WINDOW
178,Celeste Ng,164692,3.84,18693763,218998,Everything I Never Told You,EVERYTHING I NEVER TOLD YOU
179,Laurell K. Hamilton,9550,3.81,12383252,22095,"Kiss the Dead (Anita Blake, Vampire Hunter #21)",KISS THE DEAD
180,Stephen R. Donaldson,12980,3.89,6237780,3652,"Against All Things Ending (The Last Chronicles of Thomas Covenant, #3)",AGAINST ALL THINGS ENDING
181,Paige Weaver,7034900,4.08,17733971,9973,"Promise Me Darkness (Promise Me, #1)",PROMISE ME
182,Julia Alvarez,7277,3.72,3236586,2736,Return to Sender,RETURN TO SENDER
183,Alan Bradley,1074866,4.09,33215762,28133,"I Am Half-Sick of Shadows (Flavia de Luce, #4)",I AM HALF-SICK OF SHADOWS
184,Megan McCafferty,79922,3.85,3996887,8884,"Perfect Fifths (Jessica Darling, #5)",PERFECT FIFTHS
185,Saroo Brierley,7145066,4.12,18111281,42040,A Long Way Home,THE LONG WAY HOME
186,Mark Frost,34765,3.94,29102955,7547,The Secret History of Twin Peaks,THE SECRET HISTORY OF TWIN PEAKS
187,Anne Bishop,26897,4.27,8315340,8050,"Twilight's Dawn (The Black Jewels, #9)",TWILIGHT'S DAWN
188,Michael Palmer,110485,3.81,9434377,3340,A Heartbeat Away,A HEARTBEAT AWAY
189,Cassandra Clare,150038,4.33,7171637,579411,"Clockwork Angel (The Infernal Devices, #1)",CLOCKWORK ANGELS
190,Jennifer Chiaverini,11630,3.71,22571509,2797,Mrs. Grant and Madame Jule,MRS. GRANT AND MADAME JULE
191,S.J. Watson,4470653,3.89,9736930,247607,Before I Go to Sleep,BEFORE I GO TO SLEEP
192,Wally Lamb,3505,3.80,17349023,45779,We Are Water,WE ARE WATER
193,Robert Knott,828924,3.80,18079589,1413,"Robert B. Parker's Bull River (Virgil Cole &amp; Everett Hitch, #6)",ROBERT B PARKER'S BULL RIVER
194,Caroline Mitchell,3076677,3.94,35389818,17424,Silent Victim,VICTIMS
195,Philippa Gregory,9987,3.98,9542439,51910,"The Lady of the Rivers (The Plantagenet and Tudor Novels, #1)",THE LADY OF THE RIVERS
196,Téa Obreht,4937879,3.38,8366402,80216,The Tiger's Wife,THE TIGER'S WIFE
197,Sarah Darer Littman,50274,4.10,22856607,4488,Backlash,BACKLASH
198,Adolf Hitler,30691,3.15,20807647,27925,"Mein Kampf - My Struggle: Unabridged edition of Hitlers original book - Four and a Half Years of Struggle against Lies, Stupidity, and Cowardice",MY STRUGGLE: BOOK FOUR
199,V.E. Schwab,7168230,4.09,22055262,130521,"A Darker Shade of Magic (Shades of Magic, #1)",MAGIC
200,Clive Cussler,18411,3.99,24875396,4670,"The Pharaoh's Secret (NUMA Files, #13)",THE PHARAOH'S SECRET
201,Anne Rivers Siddons,6946,3.50,2825872,5460,Off Season,OFF SEASON
202,Dave Barry,6245,3.72,15815342,5078,Insane City,INSANE CITY
203,L. Frank Baum,3242,3.98,236093,315813,"The Wonderful Wizard of Oz (Oz, #1)",PRIVATE L A
204,Edan Lepucki,4395695,3.22,18774020,17629,California,CALIFORNIA
205,Kathleen Grissom,3067074,4.24,25813937,24081,Glory Over Everything: Beyond The Kitchen House,GLORY OVER EVERYTHING
206,Barbara Delinsky,36492,3.81,16045031,9729,Sweet Salt Air,SWEET SALT AIR
207,William R. Forstchen,8589,4.11,26114149,5014,"The Final Day (After, #3)",THE FINAL DAY
208,Nicholas Sparks,2345,3.91,40669990,52754,Two By Two,TWO BY TWO
209,Michael Crichton,5194,3.77,31287693,20273,Dragon Teeth,DRAGON TEETH
210,Charlaine Harris,17061,3.89,7091488,143898,"Dead in the Family (Sookie Stackhouse, #10)",DEAD IN THE FAMILY
211,Jennifer Chiaverini,11630,3.85,8605681,3065,"The Union Quilters (Elm Creek Quilts, #17)",THE UNION QUILTERS
212,James Patterson,3780,4.04,4110198,39584,"The 8th Confession (Women's Murder Club, #8)",THE 8TH CONFESSION
213,Claire Messud,2508,3.28,36236130,8382,The Burning Girl,THE BURNING GIRL
214,Brandon Sanderson,38550,4.64,34002132,70464,"Oathbringer (The Stormlight Archive, #3)",OATHBRINGER
215,Nora Roberts,625,4.26,36425796,18068,Shelter in Place,SHELTER IN PLACE
216,T.A. Barron,11078,3.98,9783478,17157,The Lost Years (Merlin #1),THE LOST YEARS
217,Dana Stabenow,158170,4.17,12025910,3181,"Restless In The Grave (Kate Shugak, #19 / Liam Campbell, #5)",RESTLESS IN THE GRAVE
218,B.A. Paris,14425604,3.95,29437949,202573,Behind Closed Doors,BEHIND CLOSED DOORS
219,Stephen King,3389,4.15,12341557,56764,"The Wind Through the Keyhole (The Dark Tower, #4.5)",THE WIND THROUGH THE KEYHOLE
220,Elin Hilderbrand,88301,3.74,27161845,26903,Here's to Us,HERE'S TO US
221,J.D. Robb,17065,4.33,13252406,19464,"Delusion in Death (In Death, #35)",DELUSION IN DEATH
222,Maureen Johnson,10317,4.06,29589074,14500,"Truly Devious (Truly Devious, #1)",DEVIOUS
223,David Weber,10517,4.13,17910043,3839,"Like a Mighty Army (Safehold, #7)",LIKE A MIGHTY ARMY
224,Chris Bohjalian,3509,3.16,10209997,14924,The Night Strangers,THE NIGHT STRANGERS
225,Nathan  Hill,15376492,4.09,28251002,47643,The Nix,THE NIX
226,Johanna Lindsey,29542,3.98,7125012,6079,"That Perfect Someone (Malory-Anderson Family, #10)",THAT PERFECT SOMEONE
227,Andrew Davidson,149883,3.96,2595138,40574,The Gargoyle,THE GARGOYLE
228,Douglas Preston,12577,4.04,14889780,17803,"Two Graves (Pendergast, #12)",TWO GRAVES
229,Clive Cussler,18411,4.01,41704,16858,"Shock Wave (Dirk Pitt, #13)",SHOCK WAVE
230,Christopher Buckley,16903,3.65,3288096,4021,Supreme Courtship,SUPREME COURTSHIP
231,Pierdomenico Baccalario,4874418,3.77,6261182,1782,Ring of Fire,RING OF FIRE
232,Janet Evanovich,2384,3.99,6048530,75535,"Finger Lickin' Fifteen (Stephanie Plum, #15)",FINGER LICKIN' FIFTEEN
233,Kathy Reichs,26372,3.87,9998705,17889,"Flash and Bones (Temperance Brennan, #14)",FLASH AND BONES
234,Clive Cussler,18411,3.82,6262396,10856,"Spartan Gold (Fargo Adventure, #1)",SPARTAN GOLD
235,J. Courtney Sullivan,486136,3.36,9923372,29306,Maine,MAINE
236,Richard Paul Evans,46097,4.24,35011400,4652,"The Noel Diary (The Noel Collection, #1)",THE NOEL DIARY
237,Lev Grossman,142270,4.16,19103097,54625,"The Magician's Land (The Magicians, #3)",THE MAGICIAN'S LAND
238,Kimberly Marcus,4044314,3.73,8320987,2746,Exposed,EXPOSED
239,Lois McMaster Bujold,16094,4.20,12998057,11646,"Captain Vorpatril's Alliance (Vorkosigan Saga, #15)",CAPTAIN VORPATRIL'S ALLIANCE
240,Tim Tigner,7322410,4.09,30745337,6203,Betrayal,BETRAYAL
241,Jonathan Kellerman,43626,3.80,18297295,9528,"Motive (Alex Delaware, #30)",MOTIVE
242,Stephen R. Covey,1538,4.08,36072,401922,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,PERSONAL
243,Philippa Gregory,9987,4.01,15849910,19859,"The King's Curse (The Plantagenet and Tudor Novels, #7)",THE KING'S CURSE
244,Gabriel Tallent,16231256,3.65,33572350,27585,My Absolute Darling,MY ABSOLUTE DARLING
245,S.E. Hinton,762707,4.08,231804,787751,The Outsiders,THE OUTSIDER
246,Debbie Macomber,11349,3.97,10605303,9346,1225 Christmas Tree Lane,1225 CHRISTMAS TREE LANE
247,Tim Dorsey,27017,3.96,12227046,1824,"Pineapple Grenade (Serge Storms, #15)",PINEAPPLE GRENADE
248,Robin McKinley,5339,3.60,7507951,8250,"Pegasus (Pegasus, #1)",PEGASUS
249,R.A. Salvatore,1023510,4.19,7879891,8676,"Gauntlgrym (Forgotten Realms: Neverwinter, #1; Legend of Drizzt, #20)",GAUNTLGRYM
250,Lisa Kleypas,27847,3.75,7989800,16433,"Christmas Eve at Friday Harbor (Friday Harbor, #1)",CHRISTMAS EVE AT FRIDAY HARBOR
251,Rebecca  Hamilton,5295294,3.62,21428915,2112,The Forever Girl (The Forever Girl #1),THE FOREVER GIRL
252,Naomi Alderman,118226,3.87,29751398,89306,The Power,THE POWER
253,Sandra Brown,6218,3.97,7262166,12715,Tough Customer (Mitchell &amp; Associates #2),TOUGH CUSTOMER
254,Dick Francis,5561,3.74,6329494,3099,Even Money,EVEN MONEY
255,George Saunders,8885,3.97,13641208,51658,Tenth of December,TENTH OF DECEMBER
256,Joan D. Vinge,32279,3.95,139986,10987,"The Snow Queen (The Snow Queen Cycle, #1)",THE SNOW QUEEN
257,Jennifer Lynn Barnes,164187,4.17,22929578,8303,The Fixer (The Fixer #1),THE FIX
