,author,author_id,average_rating,book_id,ratings_count,title,title_query,title_match,gender,num_pages
129,Michael Connelly,12470.0,4.12,17333227.0,36489.0,THE GODS OF GUILT,THE GODS OF GUILT,True,male,389
130,Lev Grossman,142270.0,4.16,19103097.0,54624.0,THE MAGICIAN'S LAND,THE MAGICIAN'S LAND,True,male,402
131,Adriana Trigiani,9219.0,3.99,13127599.0,69319.0,THE SHOEMAKER'S WIFE,THE SHOEMAKER'S WIFE,True,female,475
132,George R.R. Martin,346732.0,4.45,13496.0,1704082.0,ICE,ICE,True,male,848
133,Dennis F. Larsen,6894226.0,3.72,17253906.0,53.0,CRUEL INTENT,CRUEL INTENT,True,male,362
134,Douglas Preston,12577.0,4.12,20980959.0,15220.0,BLUE LABYRINTH,BLUE LABYRINTH,True,male,403
135,Michael Connelly,12470.0,4.32,34390820.0,31950.0,TWO KINDS OF TRUTH,TWO KINDS OF TRUTH,True,male,417
136,James Rollins,38809.0,4.13,23434061.0,10471.0,THE BONE LABYRINTH,THE BONE LABYRINTH,True,male,688
137,James Patterson,3780.0,3.84,11343348.0,19618.0,PRIVATE GAMES,PRIVATE GAMES,True,male,
138,Gabriel Tallent,16231256.0,3.65,33572350.0,27582.0,MY ABSOLUTE DARLING,MY ABSOLUTE DARLING,True,male,417
139,Mary Higgins Clark,99044.0,3.68,842355.0,4246.0,SILENT NIGHT,SILENT NIGHT,True,female,
140,Stuart Woods,3936.0,3.68,20821226.0,3693.0,PARIS MATCH,PARIS MATCH,True,male,
141,Sherrilyn Kenyon,4430.0,4.52,13079147.0,7734.0,BORN OF FURY,BORN OF FURY,True,None,704
142,Michael Connelly,12470.0,4.0,6413193.0,33502.0,NINE DRAGONS,NINE DRAGONS,True,male,374
143,Judy Blume,12942.0,3.52,23899174.0,56720.0,IN THE UNLIKELY EVENT,IN THE UNLIKELY EVENT,True,,
144,Eoin Colfer,10896.0,3.84,249747.0,437947.0,ARTEMIS,ARTEMIS,True,male,
145,Douglas Preston,12577.0,4.01,2197227.0,20562.0,CEMETERY DANCE,CEMETERY DANCE,True,male,
146,Viktor E. Frankl,2782.0,4.35,4069.0,268358.0,THE SEARCH,THE SEARCH,True,male,165
147,Stephen White,20950.0,3.68,17415169.0,1626.0,COMPOUND FRACTURES,COMPOUND FRACTURES,True,male,436
148,Elin Hilderbrand,88301.0,3.83,18656006.0,27292.0,THE MATCHMAKER,THE MATCHMAKER,True,None,368
149,Gail Carriger,2891665.0,3.8,12799420.0,11940.0,PRUDENCE,PRUDENCE,True,,
150,Pete Nelson,63539.0,3.83,109802.0,1451.0,LEFT FOR DEAD,LEFT FOR DEAD,True,None,224
151,Jack Campbell,55547.0,4.03,9676849.0,11615.0,THE LOST FLEET. BEYOND THE FRONTIER: DREADNAUGHT,THE LOST FLEET. BEYOND THE FRONTIER: DREADNAUGHT,True,male,356
152,Eric Jerome Dickey,12936.0,3.99,1686166.0,1646.0,TEMPTED BY TROUBLE,TEMPTED BY TROUBLE,True,male,
153,M.L. Stedman,5755257.0,4.02,13158800.0,348057.0,THE LIGHT BETWEEN OCEANS,THE LIGHT BETWEEN OCEANS,True,,
154,Stephen Hunter,12546.0,3.81,2990651.0,3250.0,NIGHT OF THUNDER,NIGHT OF THUNDER,True,male,287
155,Douglas Preston,12577.0,4.13,136637.0,30448.0,BRIMSTONE,BRIMSTONE,True,male,
156,David Ignatius,100030.0,3.74,13093648.0,2239.0,BLOODMONEY,BLOODMONEY,True,male,372
157,Neil Gaiman,1221698.0,3.92,22522808.0,43998.0,TRIGGER WARNING,TRIGGER WARNING,True,male,310
158,Jonathan Kellerman,43626.0,3.69,31849494.0,4601.0,CRIME SCENE,CRIME SCENE,True,male,400
159,Arthur  Miller,8120.0,3.56,17250.0,282149.0,CRUCIBLE,CRUCIBLE,True,male,143
160,David Graham,69379.0,3.91,2034476.0,718.0,A SUNLESS SEA,A SUNLESS SEA,True,None,352
161,Ian McEwan,2408.0,3.69,30008702.0,34810.0,NUTSHELL,NUTSHELL,True,male,
162,Stuart Woods,3936.0,3.74,3537195.0,2775.0,MOUNTING FEARS,MOUNTING FEARS,True,male,
163,Ashley Elston,5317545.0,3.91,13018503.0,8037.0,THE DISAPPEARED,THE DISAPPEARED,True,female,320
164,Jeffery Deaver,1612.0,3.81,5568007.0,9882.0,ROADSIDE CROSSES,ROADSIDE CROSSES,True,male,397
165,Caroline Mitchell,3076677.0,3.94,35389818.0,17418.0,VICTIMS,VICTIMS,True,female,325
166,J. Ryan Stradal,9761936.0,3.77,23398625.0,28778.0,KITCHENS OF THE GREAT MIDWEST,KITCHENS OF THE GREAT MIDWEST,True,male,310
167,Jay Asher,569269.0,3.97,29844228.0,673564.0,THIRTEEN,THIRTEEN,True,,
168,Laurie R. King,6760.0,4.16,5226845.0,12676.0,THE LANGUAGE OF BEES,THE LANGUAGE OF BEES,True,female,
169,Kim Harrison,17054.0,4.45,8138071.0,41467.0,PALE DEMON,PALE DEMON,True,female,439
170,Elizabeth  George,1402383.0,3.79,11737276.0,11353.0,BELIEVING THE LIE,BELIEVING THE LIE,True,female,610
171,Linda Fairstein,48895.0,3.74,18693651.0,3387.0,TERMINAL CITY,TERMINAL CITY,True,None,400
172,Mike Greenberg,7944.0,3.68,15818396.0,4715.0,ALL YOU COULD ASK FOR,ALL YOU COULD ASK FOR,True,male,264
173,John Scalzi,4763.0,3.84,13055592.0,74174.0,REDSHIRTS,REDSHIRTS,True,male,
174,Robert Jordan,6252.0,4.36,1166599.0,112192.0,THE GATHERING STORM,THE GATHERING STORM,True,male,783
175,Mary Kay Andrews,21387.0,3.61,23245594.0,13149.0,BEACH TOWN,BEACH TOWN,True,None,448
176,James Patterson,3780.0,3.79,6987558.0,13721.0,DON'T BLINK,DON'T BLINK,True,male,387
177,Orson Scott Card,589.0,3.94,13151129.0,37505.0,EARTH UNAWARE,EARTH UNAWARE,True,male,368
178,John Scalzi,4763.0,3.88,21418013.0,45172.0,LOCK IN,LOCK IN,True,male,336
179,James Patterson,3780.0,3.85,33143062.0,7005.0,FIFTY FIFTY,FIFTY FIFTY,True,male,None
180,Sandra Brown,6218.0,4.05,10875239.0,25907.0,LETHAL,LETHAL,True,female,472
181,Reed Farrel Coleman,138518.0,3.91,20821292.0,3722.0,ROBERT B PARKER'S BLIND SPOT,ROBERT B PARKER'S BLIND SPOT,True,male,
182,Alan Furst,49941.0,3.89,7440139.0,4763.0,SPIES OF THE BALKANS,SPIES OF THE BALKANS,True,male,
183,Carl Hiaasen,8178.0,3.81,28185972.0,14362.0,RAZOR GIRL,RAZOR GIRL,True,male,335
184,Felix Francis,535902.0,3.85,10840307.0,2695.0,DICK FRANCIS'S GAMBLE,DICK FRANCIS'S GAMBLE,True,male,368
185,Melanie Benjamin,2958717.0,3.59,25279165.0,23982.0,THE SWANS OF FIFTH AVENUE,THE SWANS OF FIFTH AVENUE,True,female,
186,Drew Karpyshyn,20030.0,4.5,16071610.0,1372.0,DARTH BANE,DARTH BANE,True,None,
187,Dick Francis,5561.0,3.74,6329494.0,3099.0,EVEN MONEY,EVEN MONEY,True,male,350
188,Sara Gruen,24556.0,4.08,43641.0,1226238.0,INTO THE WATER,INTO THE WATER,True,female,
189,W.E.B. Griffin,1415338.0,4.15,13593569.0,1445.0,EMPIRE AND HONOR,EMPIRE AND HONOR,True,male,
190,Jack Higgins,19706.0,3.87,7928354.0,2939.0,THE JUDAS GATE,THE JUDAS GATE,True,male,
191,Laurell K. Hamilton,9550.0,3.88,21066968.0,11282.0,DEAD ICE,DEAD ICE,True,female,
192,Danielle Steel,14255.0,3.86,27272223.0,7880.0,THE APARTMENT,THE APARTMENT,True,female,336
193,Sophie Kinsella,6160.0,3.63,9416.0,587831.0,THE CONFESSION,THE CONFESSION,True,None,368
194,Margaret Atwood,3472.0,3.87,28588073.0,19904.0,HAG-SEED,HAG-SEED,True,female,301
195,Brandon Sanderson,38550.0,4.36,68429.0,217389.0,ASCENSION,ASCENSION,True,male,590
196,Clive Cussler,18411.0,4.09,33874794.0,3774.0,THE ROMANOV RANSOM,THE ROMANOV RANSOM,True,male,388
197,Shauna Singh Baldwin,19957.0,3.72,501815.0,489.0,TIGER'S CLAW,TIGER'S CLAW,True,female,592
198,Johanna Lindsey,29542.0,3.77,5945363.0,5408.0,A ROGUE OF MY OWN,A ROGUE OF MY OWN,True,female,
199,Dorothea Benton Frank,36935.0,3.85,37955592.0,7410.0,BY INVITATION ONLY,BY INVITATION ONLY,True,female,None
200,Stephanie Laurens,9241.0,3.91,3939628.0,3236.0,TEMPTATION AND SURRENDER,TEMPTATION AND SURRENDER,True,female,400
201,John Grisham,721.0,3.59,1248179.0,45355.0,THE APPEAL,THE APPEAL,True,male,
202,James Patterson,3780.0,4.02,10343389.0,27512.0,KILL ALEX CROSS,KILL ALEX CROSS,True,male,375
203,Newt Scamander,57983.0,3.99,41899.0,269994.0,THE BEAST,THE BEAST,True,,
204,Lisa Lutz,74189.0,4.03,12166282.0,8198.0,TRAIL OF THE SPELLMANS: DOCUMENT,TRAIL OF THE SPELLMANS: DOCUMENT,True,,
205,James Patterson,3780.0,4.05,13037558.0,16929.0,"I, MICHAEL BENNETT","I, MICHAEL BENNETT",True,male,
206,John Jackson Miller,20028.0,4.05,17262173.0,6917.0,KENOBI,KENOBI,True,,
207,Eric Van Lustbader,39467.0,3.88,12988988.0,2971.0,THE BOURNE IMPERATIVE,THE BOURNE IMPERATIVE,True,male,
208,Erin McCarthy,7941.0,4.03,5303134.0,10003.0,FAST TRACK,FAST TRACK,True,,
209,James Patterson,3780.0,4.2,34522506.0,12559.0,THE PEOPLE VS. ALEX CROSS,THE PEOPLE VS. ALEX CROSS,True,male,
210,Elizabeth Berg,3529.0,3.48,4815584.0,10324.0,HOME SAFE,HOME SAFE,True,female,
211,Lauren Kate,2905297.0,3.73,6487308.0,442454.0,THE FALLEN,THE FALLEN,True,female,452
212,Lee Child,5091.0,4.1,6977769.0,61098.0,61 HOURS,61 HOURS,True,male,383
213,Kate Atkinson,10015.0,3.93,3722183.0,41388.0,A GOD IN RUINS,A GOD IN RUINS,True,,
214,Janet Evanovich,2384.0,3.82,19004663.0,45788.0,TOP SECRET TWENTY-ONE,TOP SECRET TWENTY-ONE,True,female,305
215,George R.R. Martin,346732.0,4.45,13496.0,1704082.0,ICED,ICED,True,male,848
216,Jonathan Lethem,6404.0,3.27,17234581.0,3588.0,DISSIDENT GARDENS,DISSIDENT GARDENS,True,,
217,Jojo Moyes,281810.0,3.97,18693627.0,117608.0,THE GIRL YOU LEFT BEHIND,THE GIRL YOU LEFT BEHIND,True,female,480
218,Blake Crouch,442240.0,4.1,27833670.0,159138.0,DARK MATTER,DARK MATTER,True,None,342
219,Paula McLain,290189.0,3.8,8683812.0,234479.0,PARIS,PARIS,True,female,314
220,Jeff Shaara,14655.0,4.26,6441706.0,3934.0,NO LESS THAN VICTORY,NO LESS THAN VICTORY,True,male,
221,Jim Butcher,10746.0,4.38,6316821.0,51508.0,FIRST LORD'S FURY,FIRST LORD'S FURY,True,male,
222,Karen Marie Moning,48206.0,4.33,2702704.0,83950.0,FAEFEVER,FAEFEVER,True,female,
223,Katherine Sutcliffe,76459.0,3.72,866934.0,240.0,BAD MOON RISING,BAD MOON RISING,True,,
224,Dean Koontz,9355.0,3.75,7830126.0,17567.0,WHAT THE NIGHT KNOWS,WHAT THE NIGHT KNOWS,True,None,442
225,Sarah Waters,25334.0,3.69,25584847.0,21115.0,NIGHT WATCH,NIGHT WATCH,True,female,528
226,Anders Roslund,676070.0,3.83,9292518.0,5251.0,THREE SECONDS,THREE SECONDS,True,,
227,Jayne Ann Krentz,2387.0,3.96,15765663.0,5175.0,DREAM EYES,DREAM EYES,True,female,325
228,Elin Hilderbrand,88301.0,3.89,9503336.0,31447.0,SILVER GIRL,SILVER GIRL,True,None,416
229,Lisa Lutz,74189.0,4.2,6571967.0,11505.0,THE SPELLMANS STRIKE AGAIN,THE SPELLMANS STRIKE AGAIN,True,,
